j,psi,blm_firm_type
319,-0.263284081124377,7
320,0.721018426953215,4
321,-0.343713808055748,3
322,-0.0105938442077742,2
323,0.606978363909363,1
324,0.0500856558820349,9
325,-1.09816911933536,0
326,0.00975719280271686,8
327,0.0774283083219715,8
328,-0.215405211709839,1
329,0.106197246086497,1
330,0.529253062320354,1
331,0.0533280423240262,8
332,-0.476474054442137,7
333,0.701156672366746,1
334,0.98957303954867,4
335,0.450732888854054,9
336,0.271652456990233,4
337,-0.115200495902869,1
338,-0.62491040457145,0
339,0.0709213573303861,8
340,-0.616044597154406,7
341,0.31282073624207,4
342,0.476491668609304,2
343,0.422247577544242,9
344,0.334254809956742,1
345,0.0782288159931284,1
346,0.301770606660121,2
347,0.807175990964927,6
348,0.0244077009029063,2
349,0.889802718262442,6
350,-0.126495628491376,3
351,0.863048130876048,6
352,0.0786132679147119,8
353,0.368264518881159,1
354,-0.221776655415738,5
355,-0.494353245008882,7
356,-0.209335535707785,8
357,0.175131342164596,9
358,-0.264854491867268,7
359,0.687817560876235,4
360,0.528493515552406,4
361,0.303558110490104,2
362,-0.214810640917557,8
363,0.16962179000328,8
364,-0.100274681038555,9
365,0.827996803197391,4
366,-0.347896652461422,3
367,0.10490848457761,9
368,-0.320653805534184,2
369,0.244065714143905,4
370,1.45997052170481,6
371,0.127039570954437,9
372,0.0963671268647615,2
373,0.21769581083559,1
374,-0.0473596167968306,9
375,0.791816888184758,1
376,-0.0453803467202451,2
377,-0.0726315087261554,9
378,0.228025383435924,1
379,0.0317711689095088,9
380,-0.192967119717263,3
381,-0.492808405093231,8
382,0.552870146074092,9
383,0.267954171824306,9
384,-0.364933265664914,8
385,0.244406798212316,9
386,-0.360566848886869,8
387,0.29973509080715,9
388,-0.173160118738753,9
389,-0.139681241487853,8
390,0.162759078982634,1
391,-0.459481256692918,3
392,0.555741523210022,4
393,0.223235027068861,9
394,-0.217831042681962,8
395,0.96118316424717,6
396,-0.490108176556567,8
397,0.933951141342381,6
398,0.377387042043399,1
399,-0.275549912689671,7
400,-0.0193763760088288,8
401,-0.292264524291642,7
402,0.644633843520935,1
403,0.150526694108221,1
404,0.276937414896845,9
405,1.03181345912644,6
406,-1.18038363494964,0
407,-0.346655267200779,7
408,0.32354608066295,9
409,-0.568368804712416,7
410,0.970912091801074,6
411,0.284707714064736,4
412,0.750637973196922,4
413,0.182078868178111,9
414,-0.535023441918427,5
415,0.229590721059453,9
416,-0.614905466424771,7
417,0.695496955697381,4
418,0.657910677576446,1
419,0.810840083354293,6
420,0.268793681986541,1
421,0.316767103836101,4
422,-0.624768146646514,3
423,0.132235883484854,8
424,0.579839279593816,4
425,-0.712617897266536,5
426,0.244112221030519,1
427,-0.941771752345613,8
428,0.761302331650517,1
429,-0.364645756768416,5
430,0.274311962719024,9
431,-0.391921131444417,2
432,-0.00421554201935248,2
433,-0.822209291151897,7
434,-1.29738963176937,0
435,0.468951305648367,1
436,0.234434900789853,1
437,0.579370858241724,1
438,0.503113488085381,6
439,-0.170376229784823,2
440,-0.298437078050103,3
441,0.440469050725779,6
442,0.531895414880333,1
443,0.249238776127985,4
444,0.0428175349904748,9
445,-0.292179668020102,2
446,0.451954515914765,4
447,0.408067362796717,1
448,0.251072807730741,2
449,1.28626494922999,6
450,-0.647896528349862,0
451,-0.251503956355034,3
